STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,481089,1,1,0,1,1,3,3,221,6960,19,4,2013,6,19,2,1,2,2,US-377,PECAN LN,136,32.38826944,-97.92420278,0,8,0,0,1,1,0,1,1,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
1,10054,1,1,0,1,1,1,1,15,0,30,1,2013,4,13,30,1,2,2,US-SR 1,NA,2432,33.80007222,-85.90083056,0,8,0,0,1,1,0,1,1,2,0,2,0,0,99,99,99,99,99,99,0,0,0,1,0
25,250105,1,1,0,0,0,1,1,5,299,23,6,2013,1,22,50,0,14,3,SR-138 SOUTH,NA,99998,42.00222778,-71.06696389,0,30,0,0,1,1,0,4,3,1,0,1,0,0,22,51,22,54,88,88,0,0,0,1,1
37,370850,1,1,0,1,1,2,2,119,870,29,9,2013,1,2,24,0,16,6,THE PLAZA,PARKWOOD AVE,0,35.23248333,-80.80753333,0,8,0,0,2,3,0,1,3,1,0,1,0,0,2,23,2,28,88,88,0,0,0,1,0
17,170184,2,2,0,0,0,2,2,117,0,6,4,2013,7,22,52,0,3,3,SR-4,NA,1107,39.11484722,-89.81643889,0,12,1,0,1,1,0,1,2,1,0,1,0,0,22,52,99,99,99,99,0,0,0,1,0
42,420258,1,1,0,0,0,1,1,89,0,7,4,2013,1,7,55,0,6,5,NEYHART RD,NA,0,40.96044444,-75.30119722,0,35,0,0,1,1,0,4,1,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
4,40806,2,2,0,1,1,2,2,13,370,10,3,2013,1,19,20,1,11,1,I-17,NA,2069,33.55310278,-112.1122944,0,8,0,1,18,1,0,1,3,99,0,99,0,0,99,99,99,99,88,88,0,0,0,1,0
1,10379,2,2,0,0,0,2,2,81,0,6,7,2013,7,21,5,1,2,3,SR-38,HWY 147,86,32.67629444,-85.48632778,0,12,6,0,2,3,0,1,2,10,0,10,0,0,99,99,21,20,88,88,0,0,0,1,0
17,170013,1,1,0,1,1,1,1,31,3940,23,1,2013,4,17,24,0,14,6,WOLF ROAD,WASHINGTON BLVD.,0,41.87998056,-87.903025,0,15,0,0,2,2,0,1,2,4,0,4,0,0,17,26,99,99,99,99,0,0,0,1,0
39,390043,1,1,0,1,1,1,1,81,0,28,2,2013,5,20,54,0,16,4,CR-22A CADIZ RD,NA,0,40.37549167,-80.72696111,0,8,0,0,1,1,0,1,2,4,0,4,0,0,20,55,20,59,21,13,0,0,0,1,0
55,550438,1,1,0,0,0,1,1,111,0,9,11,2013,7,19,55,0,6,5,HOGSBACK RD,BRENNAN RD,0,43.51114167,-89.82543333,0,38,0,0,1,1,0,4,2,10,0,10,0,0,88,88,88,88,88,88,0,0,0,1,0
27,270171,1,1,0,0,0,1,1,75,0,25,6,2013,3,21,26,1,2,3,SR-61,NA,209,46.97886389,-91.7488,0,11,0,0,1,1,0,1,5,1,0,1,0,0,21,19,21,27,21,59,0,0,0,1,0
51,510388,2,2,0,0,0,2,2,61,0,11,8,2013,1,23,18,0,5,4,CR-651,NA,326,38.44693889,-77.68947778,0,12,2,0,1,1,0,1,2,1,10,10,0,0,23,19,23,23,88,88,0,0,0,1,1
12,120992,2,2,0,0,0,2,2,31,1510,21,6,2013,6,19,30,0,16,6,BUSCH DR,NA,0,30.42108889,-81.63592222,0,12,2,0,1,1,0,1,1,10,0,10,0,641227M,99,99,99,99,99,99,0,0,0,1,0
42,420646,1,1,0,0,0,11,11,19,2670,26,4,2013,6,8,8,0,16,6,MAPLE AVE,NA,0,40.76551667,-80.05812222,0,10,0,0,6,1,0,1,4,98,0,98,0,145753H,8,10,8,18,9,9,0,0,0,2,0
42,420839,1,1,0,0,0,1,1,95,0,2,10,2013,4,14,9,0,6,6,BEERSVILLE RD,DONNERSVILLE RD,0,40.76310278,-75.42646389,0,1,0,0,2,3,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1
5,50366,2,2,0,0,0,2,2,31,0,25,10,2013,6,0,1,0,14,3,SR-1-17B,CR-401,8,35.73394167,-90.6929,0,12,2,0,1,1,0,1,2,1,0,1,0,0,0,12,0,18,1,0,0,0,0,1,1
29,290172,1,1,0,0,0,1,1,221,0,11,5,2013,7,22,37,0,4,3,SR-C,NA,203,37.78055556,-90.82094444,0,35,0,0,1,1,0,4,2,10,0,10,0,0,22,39,22,53,88,88,0,0,0,1,1
36,360256,2,2,0,0,0,2,2,59,2600,20,5,2013,2,19,48,0,2,3,SR-135,NA,0,40.69811111,-73.49177222,0,33,0,0,1,1,0,3,1,1,0,1,0,0,19,49,19,50,88,88,0,0,0,1,0
48,480375,3,3,0,0,0,3,3,297,0,11,2,2013,2,18,10,0,4,3,SR-72,NA,30,28.44730278,-98.30018889,0,12,1,0,8,1,0,1,2,1,0,1,0,0,18,13,18,31,20,3,0,0,0,1,0
30,300140,1,1,0,0,0,1,1,1,0,20,9,2013,6,18,0,0,6,4,CR-WHITE PINE RIDGE ROAD,NA,0,44.53075833,-112.7383111,0,35,0,0,1,1,0,5,1,10,0,10,0,0,88,88,88,88,88,88,0,0,0,1,1
5,50194,1,1,0,1,1,2,2,107,0,8,6,2013,7,2,25,1,2,2,US-49-10,NA,81,34.56353056,-90.930025,0,8,0,0,8,1,0,1,2,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
6,62315,1,1,0,1,1,2,2,59,1345,6,12,2013,6,19,16,0,13,6,WARNER AVE,SAN RICARDO ST,0,33.71625833,-117.9440889,0,8,0,0,3,3,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
26,260178,1,1,0,0,0,4,4,49,1730,6,4,2013,7,2,10,0,13,6,FLUSHING RD,NA,87,43.01931111,-83.71117222,0,5,0,0,8,1,0,1,3,1,0,1,0,0,2,12,2,15,99,99,0,0,0,1,1
34,340503,2,1,1,0,1,4,5,21,1650,12,12,2013,5,1,9,1,11,1,I-95,NA,88,40.28561944,-74.69991111,0,25,0,1,19,1,0,10,3,10,0,10,0,0,1,9,1,20,2,34,0,0,0,3,1
26,260757,2,2,0,0,0,3,3,27,1320,27,11,2013,4,7,8,0,15,3,SR-51 FRONT ST,NA,6,41.98331944,-86.10798056,0,12,6,0,1,1,0,1,1,4,0,4,0,0,7,22,7,27,99,99,0,0,0,1,0
28,280171,1,1,0,1,1,1,1,49,1220,28,4,2013,1,18,28,0,13,6,CS-WOODROW WILSON BLVD,NA,99998,32.32656667,-90.16606389,0,8,0,0,1,1,0,1,1,1,0,1,0,0,18,28,18,35,99,99,0,0,0,1,0
29,290585,2,2,0,0,0,4,4,39,0,1,11,2013,6,19,20,0,4,3,SR-U,NA,40,37.81675,-93.94186111,0,12,2,0,1,1,0,1,2,1,0,1,0,0,19,35,20,31,21,38,0,0,0,1,0
32,320032,2,2,0,0,0,2,2,3,0,10,3,2013,1,14,50,1,11,1,I-15/US-93,NA,560,36.22338611,-115.1199611,0,12,6,0,1,1,0,1,1,1,0,1,0,0,14,51,14,59,15,18,0,0,0,1,1
1,10325,1,1,0,0,0,2,2,29,0,15,6,2013,7,22,45,0,15,4,CR-66,NA,0,33.68835833,-85.44909167,0,42,0,0,1,1,0,4,2,1,0,1,0,0,88,88,88,88,88,88,0,0,0,2,1
37,370012,1,1,0,1,1,1,1,35,2150,15,1,2013,3,19,7,0,14,6,16TH ST NE,18TH ST NE,99999,35.77463056,-81.29630278,0,8,0,0,1,1,0,1,3,2,0,2,0,0,19,5,19,12,19,30,0,0,0,1,0
48,481888,1,1,0,0,0,1,1,201,0,5,8,2013,2,2,40,0,6,4,CR-NORTHCREST DR,NA,0,30.09524722,-95.51722222,0,30,0,0,1,1,0,4,2,1,0,1,0,0,88,88,88,88,88,88,0,0,0,1,1
13,130441,2,2,0,0,0,6,6,121,280,31,5,2013,6,20,10,1,13,3,SR-120,NORTHSIDE DRIVE,1,33.77583611,-84.40696667,0,12,6,0,2,2,0,1,1,1,0,1,0,0,20,11,20,16,20,40,0,0,0,1,0
24,240245,3,3,0,0,0,3,3,5,0,20,6,2013,5,6,14,1,11,1,I-95,NA,27,39.25927222,-76.67462222,0,12,1,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
20,200084,2,2,0,0,0,4,4,37,0,20,4,2013,7,15,42,0,3,3,SR-7,W 590 AVE,326,37.46940278,-94.83392778,0,12,6,0,2,2,0,1,1,1,0,1,0,0,15,46,16,0,16,50,0,0,0,1,0
35,350170,2,2,0,0,0,2,2,31,159,1,9,2013,1,20,38,0,3,3,SR-566,NA,11,35.54406667,-108.599525,3,12,1,0,8,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
