STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
25,250096,2,2,0,0,0,2,2,23,770,7,7,2015,3,16,4,0,2,4,1,3,SR-28 EAST GROVE ST,NA,99998,41.87835833,-70.895975,0,12,6,0,8,1,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
48,480624,2,2,0,0,0,3,3,373,0,20,3,2015,6,0,0,0,1,4,98,2,US-190,NA,219,30.80927222,-95.13131667,0,12,2,0,1,1,0,1,2,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,1
26,260342,1,1,0,0,0,2,2,73,0,20,6,2015,7,20,10,0,1,7,98,4,CR-E BASELINE RD,NA,154,43.64079167,-84.65604167,0,42,0,0,1,1,0,4,1,10,0,10,0,0,20,12,20,23,99,99,22,0,0,1,1
48,480443,2,2,0,0,0,4,4,157,5970,5,3,2015,5,1,18,1,2,1,1,7,I-69,SR-36,28,29.53166389,-95.80835556,0,12,6,1,2,4,0,1,3,2,0,2,0,0,99,99,99,99,99,99,0,0,0,2,0
4,40438,3,2,1,0,0,2,2,13,370,12,7,2015,1,20,22,1,2,1,1,1,I-10,NA,1438,33.46159444,-112.0975,0,12,1,1,18,1,0,1,2,1,0,1,0,0,20,30,20,38,88,88,0,0,0,1,1
31,310034,2,2,0,0,0,4,4,157,0,1,3,2015,1,8,42,0,1,4,1,3,SR-92,CR-29,330,41.7843,-103.5191194,0,12,6,0,2,2,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
13,130589,1,1,0,1,1,1,1,187,1480,18,6,2015,5,22,0,1,1,3,1,6,EAST MAIN STREET,NA,4,34.53397778,-83.98056944,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
12,122039,1,1,0,0,0,1,1,57,0,20,10,2015,3,3,20,1,2,3,1,2,US-301,I-75,99998,27.89383056,-82.33773056,0,1,0,1,5,1,0,4,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1
12,120833,1,1,0,1,1,1,1,86,2010,16,4,2015,5,6,25,9,8,98,98,9,W FLAGLER ST,NA,99998,25.77078333,-80.28876111,0,8,0,0,1,1,0,1,4,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
4,40662,2,2,0,0,0,5,5,13,220,31,10,2015,7,9,24,1,2,4,4,6,LITCHFIELD RD,WIGWAM BLVD,0,33.49313333,-112.3625389,0,12,6,0,2,2,0,1,1,1,0,1,0,0,9,24,9,31,9,46,0,0,0,1,1
6,61365,1,1,0,1,1,1,1,71,115,2,2,2015,2,2,53,0,2,2,98,3,SR-18,NA,949,34.53998889,-117.2726444,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
12,120886,1,1,0,0,0,1,1,127,2375,26,5,2015,3,7,5,1,2,1,1,1,I-95,NA,99998,29.26043056,-81.11715,0,24,0,0,1,1,0,3,1,10,0,10,0,0,99,99,99,99,88,88,0,0,0,1,0
22,220202,1,1,0,0,0,1,1,81,976,1,5,2015,6,16,35,0,1,6,1,3,SR-783,NA,90,32.17788056,-93.33133056,0,30,0,0,1,1,0,4,1,1,0,1,0,0,16,45,16,57,88,88,0,0,0,1,1
